名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/09/18(日) 22:54:02.33 ID:GvtunJbv0<> わためもたぶん泣いてます <>リスナイト泣いてます 	
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/09/18(日) 22:54:15.56 ID:QgpkALtM0<> うっま <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/09/18(日) 22:54:17.46 ID:cDeeViGW0<> 質だわこりゃ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/09/18(日) 22:54:20.19 ID:neCvI8ul0<> よく考えたらこれの一発屋だな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/09/18(日) 22:54:22.79 ID:Dju3TjM90<> 音声モノラルなんだけど <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/09/18(日) 22:54:26.21 ID:9vK1WeJ/0<> でもホロスタと同じ画面に映ったんだよね <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/09/18(日) 22:54:26.76 ID:XD+qBfyT0<> 質 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/09/18(日) 22:54:27.12 ID:3eKexjgn0<> alice&uの縦読み質だよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/09/18(日) 22:54:27.59 ID:88aRFFaE0<> うますぎだろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/09/18(日) 22:54:31.33 ID:Baej/bG/0<> ALICE&uすこ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/09/18(日) 22:54:33.39 ID:gSRIoxev0<> 歌唱力が高すぎる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/09/18(日) 22:54:34.01 ID:iYNSFtfh0<> 質 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/09/18(日) 22:54:34.65 ID:vwfBOIFJ0<> 普通にすいちゃんよりうめえな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/09/18(日) 22:54:35.58 ID:CeDyc8TU0<> これ生で歌えるの凄いよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/09/18(日) 22:54:35.78 ID:M4wb09wR0<> すまん、リスが一番うまいわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/09/18(日) 22:54:37.48 ID:WTeo7Zvd0<> やっぱホロ屈指の名曲だわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/09/18(日) 22:54:38.54 ID:kgEZ5IR70<> 生やん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/09/18(日) 22:54:39.87 ID:uJN0k7FE0<> https://i.imgur.com/GwiJXh0.jpg <br> ルーナも泣いてるわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/09/18(日) 22:54:42.16 ID:ifRkAMeR0<> これ特別なアレンジ？ <>
